timestamp_utc,lat_deg,lon_deg,alt_km,x_ecef_km,y_ecef_km,z_ecef_km
2026-02-09T16:29:08.585213+00:00,0.7554682280587734,72.5150147986883,35783.6045915489,12666.642299065414,40210.19660395353,555.3407343608893
2026-02-09T16:30:08.585213+00:00,0.7657240074489937,72.51485612853685,35783.61162371328,12666.725696850153,40210.07277757029,562.8793535177712
2026-02-09T16:31:08.585213+00:00,0.7759651604593645,72.5146985711641,35783.618701556086,12666.807965132806,40209.948092436905,570.4072067240717
2026-02-09T16:32:08.585213+00:00,0.786191491155476,72.51454213936813,35783.62582493583,12666.88909721412,40209.82255864128,577.9241498133945
2026-02-09T16:33:08.585213+00:00,0.7964028038828878,72.51438684725349,35783.63299371009,12666.969085505483,40209.69618664666,585.4300388282072
2026-02-09T16:34:08.585213+00:00,0.8065989032708426,72.51423270836756,35783.6402077356,12667.04792283673,40209.568986878956,592.9247300225994
2026-02-09T16:35:08.585213+00:00,0.8167795942359626,72.51407973616472,35783.647466868024,12667.125602130063,40209.44096982877,600.4080798650259
2026-02-09T16:36:08.585213+00:00,0.8269446819859652,72.51392794447145,35783.654770962225,12667.202116073608,40209.31214615375,607.8799450410686
2026-02-09T16:37:08.585213+00:00,0.8370939720233395,72.51377734562197,35783.66211987203,12667.277458429546,40209.182526265635,615.3401824561621
2026-02-09T16:38:08.585213+00:00,0.8472272701490787,72.51362795325224,35783.66951345044,12667.351622073216,40209.05212094758,622.7886492383677
2026-02-09T16:39:08.585213+00:00,0.8573443824663337,72.51347978043532,35783.676951549496,12667.424600301438,40208.92094094111,630.2252027410816
2026-02-09T16:40:08.585213+00:00,0.8674451221516358,72.51333284004124,35783.68443402527,12667.496386558574,40208.788996958145,637.6497055202109
2026-02-09T16:41:08.585213+00:00,0.8775292823772872,72.51318714562251,35783.69196071803,12667.566973899353,40208.65630014369,645.0620054309393
2026-02-09T16:42:08.585213+00:00,0.8875966769536037,72.51304270891796,35783.69953148199,12667.636356614106,40208.52286112298,652.4619655016415
2026-02-09T16:43:08.585213+00:00,0.8976471132292012,72.51289954306856,35783.7071461656,12667.70452805598,40208.38869097814,659.8494440143795
2026-02-09T16:44:08.585213+00:00,0.9076803988732257,72.51275766064725,35783.714804616335,12667.771482002052,40208.253800745435,667.2242994901744
2026-02-09T16:45:08.585213+00:00,0.9176963418790288,72.51261707412436,35783.72250668072,12667.837212326762,40208.11820151761,674.5863906917316
2026-02-09T16:46:08.585213+00:00,0.9276947505677899,72.5124777963315,35783.73025220449,12667.90171267601,40207.981904545864,681.935576626126
2026-02-09T16:47:08.585213+00:00,0.9376754335921853,72.51233983859856,35783.73804103244,12667.964977774553,40207.84492082721,689.2717165475186
2026-02-09T16:48:08.585213+00:00,0.9476381999400205,72.5122032135464,35783.74587300846,12668.027001465742,40207.707261721276,696.5946699598471
2026-02-09T16:49:08.585213+00:00,0.9575828589378627,72.5120679332233,35783.75374797557,12668.087778019257,40207.56893853765,703.9042966195154
